,transit_timestamp,ridership
22,2024-02-01 00:00:00,21280
0,2024-02-01 01:00:00,7972
2,2024-02-01 02:00:00,5282
4,2024-02-01 03:00:00,6192
6,2024-02-01 04:00:00,17883
8,2024-02-01 05:00:00,65319
10,2024-02-01 06:00:00,150844
12,2024-02-01 07:00:00,317252
14,2024-02-01 08:00:00,391203
16,2024-02-01 09:00:00,243206
18,2024-02-01 10:00:00,152744
20,2024-02-01 11:00:00,137260
23,2024-02-01 12:00:00,146906
1,2024-02-01 13:00:00,165206
3,2024-02-01 14:00:00,208982
5,2024-02-01 15:00:00,270742
7,2024-02-01 16:00:00,316992
9,2024-02-01 17:00:00,399803
11,2024-02-01 18:00:00,298084
13,2024-02-01 19:00:00,181638
15,2024-02-01 20:00:00,131130
17,2024-02-01 21:00:00,104917
19,2024-02-01 22:00:00,84294
21,2024-02-01 23:00:00,46863
